2025-03-05 20:05:59 [main] INFO  CustomerRegistrationPages - Launching chrome browser
2025-03-05 20:36:36 [main] INFO  CustomerRegistrationPages - ***********************************
2025-03-05 20:36:36 [main] INFO  CustomerRegistrationPages - **** Test Execution is started ****
2025-03-05 20:36:36 [main] INFO  CustomerRegistrationPages - ***********************************
2025-03-05 20:36:37 [main] INFO  CustomerRegistrationPages - Launching chrome
2025-03-06 09:56:19 [main] INFO  CustomerRegistrationPages - ***********************************
2025-03-06 09:56:19 [main] INFO  CustomerRegistrationPages - **** Test Execution is started ****
2025-03-06 09:56:19 [main] INFO  CustomerRegistrationPages - ***********************************
2025-03-06 09:56:25 [main] INFO  CustomerRegistrationPages - Launching chrome
2025-03-06 10:00:52 [main] INFO  CustomerRegistrationPages - ***********************************
2025-03-06 10:00:52 [main] INFO  CustomerRegistrationPages - **** Test Execution is started ****
2025-03-06 10:00:52 [main] INFO  CustomerRegistrationPages - ***********************************
2025-03-06 10:00:53 [main] INFO  CustomerRegistrationPages - Launching chrome
2025-03-06 10:01:23 [main] INFO  CustomerRegistrationPages - ***********************************
2025-03-06 10:01:23 [main] INFO  CustomerRegistrationPages - **** Test Execution is started ****
2025-03-06 10:01:23 [main] INFO  CustomerRegistrationPages - ***********************************
2025-03-06 10:01:24 [main] INFO  CustomerRegistrationPages - Launching chrome
2025-03-06 10:02:07 [main] INFO  CustomerRegistrationPages - ***********************************
2025-03-06 10:02:07 [main] INFO  CustomerRegistrationPages - **** Test Execution is started ****
2025-03-06 10:02:07 [main] INFO  CustomerRegistrationPages - ***********************************
2025-03-06 10:02:09 [main] INFO  CustomerRegistrationPages - Launching chrome
2025-03-06 10:03:17 [main] INFO  CustomerRegistrationPages - ***********************************
2025-03-06 10:03:17 [main] INFO  CustomerRegistrationPages - **** Test Execution is started ****
2025-03-06 10:03:17 [main] INFO  CustomerRegistrationPages - ***********************************
2025-03-06 10:03:19 [main] INFO  CustomerRegistrationPages - Launching chrome
2025-03-06 10:06:36 [main] INFO  CustomerRegistrationPages - ***********************************
2025-03-06 10:06:36 [main] INFO  CustomerRegistrationPages - **** Test Execution is started ****
2025-03-06 10:06:36 [main] INFO  CustomerRegistrationPages - ***********************************
2025-03-06 10:06:37 [main] INFO  CustomerRegistrationPages - Launching chrome
